"","major","degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"4827","ECE","MS","E-mail",NA,NA,NA,"International",73,6.7,"03"
"9728","CS","MS","E-mail",3.95,163,164,"American",57,11.5,"03"
"3147","CS","MS","E-mail",NA,NA,NA,"International with US Degree",48,5.9,"02"
"14500","CS","MS","E-mail",NA,161,161,"American",46,4.3,"04"
"444","Other","MS","Website",NA,156,168,"International",30,2.3,"03"
"4151","CS","MS","E-mail",NA,NA,NA,"International",42,5.4,"04"
"10261","CS","PhD","E-mail",NA,NA,NA,"International",48,5.9,"03"
"13131","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",21,2.4,"03"
"10780","CS","PhD","E-mail",3.97,158,149,"International",37,5,"02"
"15070","CS","PhD","E-mail",NA,NA,NA,"International",37,3.1,"03"
"15785","CS","PhD","Website",NA,NA,NA,"International with US Degree",85,12.3,"02"
"1912","CS","MS","E-mail",NA,NA,NA,"International",73,6.7,"03"
"698","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",53,6.9,"04"
"6224","ECE","MS","Other",3.8,157,167,"International with US Degree",57,11.5,"02"
"8839","CS","PhD","E-mail",NA,NA,NA,"American",42,5.4,"01"
"16226","CS","PhD","E-mail",3.8,156,166,"International",68,8.7,"02"
"4865","ECE","MS","E-mail",4,164,170,"International",73,6.7,"03"
"363","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",53,4.8,"02"
"1008","CS","MS","E-mail",3.13,160,169,"International",46,4.3,"03"
"14177","CS","PhD","Phone",NA,NA,NA,"American",57,8.4,"02"
"10123","CS","PhD","E-mail",NA,NA,NA,"International",NA,NA,"03"
"967","CS","MS","E-mail",3.11,158,162,"International",46,4.3,"03"
"4251","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",47,5.8,"03"
"12991","CS","PhD","Website",NA,NA,NA,"International with US Degree",50,4.7,"03"
"13124","ECE","PhD","E-mail",NA,NA,NA,"International",83,9.9,"03"
"9965","ECE","PhD","E-mail",NA,NA,NA,"International",38,3.1,"02"
"218","CS","MS","E-mail",NA,NA,NA,"International",46,4.3,"04"
"2500","CS","MS","Website",3,156,156,"International",10,1.5,"02"
"13189","ECE","PhD","Website",NA,NA,NA,"International with US Degree",85,12.3,"03"
"15621","CS","PhD","E-mail",NA,NA,NA,"American",152,18.1,"02"
"9956","CS","PhD","Phone",NA,149,169,"International",15,1.5,"03"
"7326","CS","MS","E-mail",3.72,165,152,"International",152,18.1,"03"
"11689","ECE","PhD","Website",NA,NA,NA,"International",28,2.9,"05"
"10904","ECE","PhD","E-mail",NA,NA,NA,"International",53,6.9,"02"
"7685","ECE","PhD","E-mail",NA,NA,NA,"International",32,2.7,"03"
"13749","ECE","PhD","Postal Service",NA,NA,NA,"American",85,12.3,"02"
"5127","CS","PhD","E-mail",3.66,167,163,"American",22,2.4,"02"
"12709","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",15,1.9,"03"
"5103","ECE","MS","E-mail",3.75,154,155,"American",30,2.8,"02"
"11685","ECE","PhD","E-mail",NA,NA,NA,"International with US Degree",25,3.5,"05"
"13998","IS","PhD","E-mail",4,162,166,"American",46,5.6,"02"
"8049","ECE","MS","E-mail",NA,NA,NA,"International",48,5.9,"02"
"12417","CS","MS","Website",NA,NA,NA,"International",42,5.4,"03"
"9984","ECE","MS","Website",3.41,149,166,"International",55,4.7,"03"
"10671","ECE","PhD","Website",NA,NA,NA,"International",26,2.3,"02"
"2828","CS","MS","E-mail",NA,161,167,"International",48,5.9,"02"
"9738","CS","PhD","E-mail",3.34,153,166,"International",83,9.9,"03"
"15496","CS","PhD","E-mail",NA,NA,NA,"International",55,4.7,"03"
"11869","CS","PhD","E-mail",NA,NA,NA,"International",53,6.9,"04"
"9909","ECE","MS","Website",3.24,152,166,"International",55,4.7,"03"
"13256","CS","PhD","E-mail",NA,NA,NA,"International",47,5.8,"03"
"11298","ECE","MS","Website",3.61,165,166,"International",38,3.1,"02"
"7926","ECE","MS","E-mail",NA,157,169,"International",48,5.9,"02"
"11376","CS","MS","E-mail",NA,NA,NA,"Other",40,3.6,"02"
"6480","CS","PhD","Website",NA,NA,NA,"American",37,3.4,"04"
"16064","CS","PhD","E-mail",3.8,170,142,"International",57,11.5,"02"
"5302","CS","MS","E-mail",3.85,169,166,"International",152,18.1,"02"
"12767","CS","MS","Postal Service",NA,NA,NA,"International",29,4.2,"03"
"11302","CS","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"5410","CS","MS","E-mail",3.3,157,164,"International",48,5.9,"02"
"8986","CS","PhD","E-mail",3.58,164,166,"International",73,6.7,"05"
"1599","CS","MS","E-mail",3.78,157,170,"International",83,9.9,"03"
"14923","CS","PhD","E-mail",NA,NA,NA,"International",37,3.1,"03"
"2249","CS","MS","E-mail",NA,NA,NA,"International",32,2.7,"02"
"1154","CS","MS","Website",3.67,167,167,"International",55,4.3,"03"
