"","major","degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"4721","CS","MS","Website",3.72,151,163,"American",73,6.7,"03"
"13016","CS","MS","E-mail",NA,NA,NA,"International",83,9.9,"03"
"1990","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",22,2.8,"03"
"11429","ECE","PhD","E-mail",NA,NA,NA,"American",152,18.1,"02"
"991","CS","MS","Website",3.6,150,161,"International",73,6.7,"03"
"3783","CS","MS","E-mail",3.76,165,167,"International",37,3.1,"04"
"379","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",22,2.4,"04"
"11834","ECE","PhD","E-mail",NA,NA,NA,"International",19,2.8,"04"
"15379","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",23,1.9,"03"
"898","CS","MS","E-mail",NA,NA,NA,"International",35,3.4,"04"
"4466","CS","MS","E-mail",NA,NA,NA,"International",47,3,"03"
"6518","CS","MS","E-mail",3.5,169,153,"International",47,5.8,"04"
"13507","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",13,1.6,"02"
"11073","CS","PhD","E-mail",NA,NA,NA,"International",57,11.5,"02"
"115","CS","MS","E-mail",NA,NA,NA,"International",50,5.7,"05"
"13171","ECE","Other","E-mail",NA,158,159,"International",57,11.5,"03"
"15639","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"3976","CS","PhD","Website",NA,NA,NA,"International with US Degree",25,3.5,"04"
"7688","ECE","MS","E-mail",NA,NA,NA,"International",152,18.1,"02"
"10522","ECE","PhD","E-mail",3.97,164,164,"International",53,4.8,"02"
"12069","ECE","PhD","E-mail",NA,170,152,"International",12,1.8,"04"
"15019","ECE","MS","E-mail",NA,NA,NA,"International",37,5,"03"
"15769","CS","PhD","Website",4,154,166,"International",85,12.3,"02"
"11083","ECE","PhD","Website",3.9,165,166,"International",42,5.4,"02"
"4550","CS","MS","E-mail",3.7,159,158,"International",73,6.7,"03"
"7112","CS","PhD","Website",NA,NA,NA,"International",43,3.6,"03"
"16342","CS","PhD","E-mail",NA,NA,NA,"American",152,18.1,"02"
"15223","CS","PhD","E-mail",NA,NA,NA,"International",83,9.9,"03"
"9167","CS","MS","E-mail",NA,NA,NA,"American",63,8.6,"04"
"15805","CS","PhD","Website",NA,NA,NA,"American",85,12.3,"02"
"4135","CS","MS","E-mail",NA,NA,NA,"International with US Degree",37,5,"04"
"6932","ECE","MS","E-mail",NA,NA,NA,"International",23,1.9,"03"
"7649","CS","MS","Postal Service",NA,NA,NA,"American",29,4.2,"02"
"3496","CS","MS","Website",3.6,157,170,"International",55,4.7,"12"
"772","CS","MS","E-mail",NA,NA,NA,"American",47,5.8,"04"
"7766","ECE","MS","E-mail",NA,160,167,"International",48,5.9,"02"
"16426","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"01"
"14727","CS","PhD","E-mail",NA,NA,NA,"International",46,4.3,"04"
"2581","CS","PhD","E-mail",3.15,157,165,"International",22,1.9,"02"
"11093","CS","MS","E-mail",3,149,160,"International",6,1.2,"02"
"7822","CS","MS","E-mail",NA,NA,NA,"International",26,3.3,"02"
"11754","CS","MS","Website",3.12,143,158,"International",55,4.7,"04"
"3420","CS","PhD","E-mail",3.87,170,160,"International",22,2.8,"01"
"2768","ECE","PhD","Website",3.52,165,170,"International",52,6.4,"02"
"2003","CS","PhD","E-mail",NA,NA,NA,"International",22,2.4,"03"
"964","CS","MS","E-mail",3.7,157,170,"International",73,6.7,"03"
"3422","CS","MS","E-mail",3.8,148,170,"International",53,6.9,"01"
"1832","CS","PhD","E-mail",3.86,153,170,"International with US Degree",152,18.1,"03"
"7466","CS","MS","E-mail",NA,NA,NA,"International",26,2.5,"03"
"9971","CS","PhD","Website",NA,NA,NA,"International",43,3.6,"03"
"6141","ECE","MS","E-mail",NA,NA,NA,"International with US Degree",16,1.3,"01"
"14236","CS","PhD","E-mail",NA,NA,NA,"International",83,9.9,"01"
"8692","CS","PhD","E-mail",NA,NA,NA,"International",53,4.8,"02"
"15052","CS","MS","E-mail",3.83,154,164,"International with US Degree",57,11.5,"03"
"8506","CS","PhD","E-mail",NA,NA,NA,"American",152,18.1,"02"
"7098","CS","MS","E-mail",3.84,160,165,"International",25,3.5,"03"
"10747","CS","PhD","E-mail",NA,NA,NA,"International",55,4.3,"02"
"15564","CS","PhD","E-mail",NA,NA,NA,"American",68,8.7,"02"
"1521","CS","MS","E-mail",NA,158,167,"International",38,3.1,"03"
"13810","IS","PhD","E-mail",NA,NA,NA,"International",46,5.6,"02"
"10885","HCI","PhD","E-mail",3.86,149,166,"International with US Degree",152,18.1,"02"
"8971","IS","MS","E-mail",NA,143,163,"International",23,1.9,"05"
"6625","CS","MS","E-mail",NA,NA,NA,"International",47,5.8,"04"
"7171","CS","MS","E-mail",3.98,167,165,"American",50,4.7,"02"
"14005","CS","MS","E-mail",NA,NA,NA,"American",26,3.3,"02"
"12348","CS","MS","E-mail",NA,NA,NA,"International",47,5.8,"03"
"580","HCI","MS","E-mail",NA,NA,NA,"International",73,6.7,"03"
"2041","CS","MS","E-mail",NA,NA,NA,"International",152,18.1,"03"
"16037","CS","PhD","E-mail",NA,NA,NA,"American",51,5.3,"02"
"15319","ECE","PhD","E-mail",4,149,166,"International with US Degree",NA,NA,"03"
"770","CS","PhD","E-mail",3.97,162,164,"American",47,3,"04"
"4237","CS","MS","Website",NA,NA,NA,"International",35,3.4,"03"
"7945","ECE","PhD","E-mail",NA,NA,NA,"International with US Degree",53,4.8,"02"
"13218","CS","MS","E-mail",NA,NA,NA,"International",83,11.1,"03"
"14001","CS","PhD","E-mail",NA,NA,NA,"International",51,5.3,"02"
"5941","CS","PhD","E-mail",3.8,155,168,"International",57,8.4,"02"
"15983","CS","PhD","Website",NA,NA,NA,"American",83,11.1,"02"
"8303","CS","PhD","E-mail",3.7,148,161,"International",57,8.4,"02"
"5431","CS","MS","E-mail",3.86,170,164,"American",48,5.9,"02"
"13576","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"11548","ECE","PhD","Website",3.4,142,163,"International",48,5.9,"01"
"14610","ECE","MS","E-mail",3.9,151,164,"American",63,8.6,"04"
"8826","CS","PhD","E-mail",4,168,170,"American",83,11.1,"01"
"12195","CS","PhD","E-mail",NA,NA,NA,"Other",15,1.5,"03"
"2562","CS","PhD","E-mail",3.96,170,149,"International",48,5.9,"02"
"14733","CS","PhD","Website",NA,NA,NA,"American",52,6.4,"04"
"13828","CS","PhD","E-mail",NA,NA,NA,"International",23,2.7,"02"
"5407","CS","MS","E-mail",3.2,151,167,"International",48,5.9,"02"
"14863","CS","PhD","Website",NA,NA,NA,"International with US Degree",42,5.4,"03"
"778","CS","PhD","Postal Service",NA,163,154,"International",24,1.6,"04"
"4873","HCI","MS","E-mail",3.63,162,153,"American",152,18.1,"03"
"6441","CS","PhD","E-mail",3.39,145,162,"International",36,2.8,"04"
"5991","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"15614","ECE","PhD","E-mail",NA,NA,NA,"International",26,2.5,"02"
"765","CS","MS","Website",NA,NA,NA,"International",50,4.7,"04"
"12641","CS","MS","Website",NA,NA,NA,"International",30,2.3,"03"
"16256","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",68,8.7,"02"
"12807","ECE","PhD","E-mail",4,151,166,"International",14,1.5,"03"
"1474","CS","PhD","Website",3.57,145,154,"International",28,2.9,"03"
"2085","CS","PhD","Website",4,165,162,"International",29,4.2,"03"
"13591","CS","PhD","Website",NA,NA,NA,"International",85,12.3,"02"
"392","CS","MS","Website",NA,NA,NA,"International",23,1.9,"04"
"9566","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",13,1.8,"03"
"9859","CS","PhD","E-mail",3.44,150,159,"International",12,1.8,"03"
"6241","CS","PhD","E-mail",3,142,163,"International",10,1.2,"05"
"4964","CS","PhD","E-mail",3,165,145,"International",9,1.3,"03"
"15499","ECE","PhD","E-mail",NA,NA,NA,"International with US Degree",68,8.7,"03"
"11996","CS","MS","E-mail",NA,NA,NA,"International",22,2.5,"04"
"7678","CS","PhD","E-mail",3.25,155,165,"International",36,2.8,"02"
"13369","CS","PhD","Website",NA,NA,NA,"International",50,4.7,"02"
"7937","CS","PhD","E-mail",3.83,160,167,"American",55,4.7,"02"
"7740","ECE","MS","E-mail",NA,NA,NA,"International",47,5.8,"02"
"14526","ECE","PhD","Phone",NA,NA,NA,"International",68,8.7,"04"
"4154","CS","MS","E-mail",3.4,155,168,"International",50,5.7,"04"
"15125","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",43,3.6,"03"
"1890","CS","MS","E-mail",3.84,166,168,"International",50,4.7,"03"
"6355","CS","PhD","E-mail",NA,NA,NA,"International",12,1.2,"04"
"5969","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"02"
"8098","CS","PhD","E-mail",3.94,162,163,"American",53,4.8,"02"
"1044","CS","MS","E-mail",3.86,156,165,"International",26,2.3,"03"
"5402","CS","MS","E-mail",3.69,142,157,"International",34,2.3,"01"
"10188","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",25,3.5,"03"
"10577","CS","PhD","E-mail",NA,NA,NA,"International",35,3.4,"02"
"5316","CS","MS","E-mail",4,159,165,"International",48,5.9,"02"
"15768","CS","PhD","Website",NA,NA,NA,"International with US Degree",85,12.3,"02"
"4927","HCI","MS","E-mail",3.5,158,160,"American",152,18.1,"03"
"11015","ECE","MS","E-mail",3.7,168,166,"International with US Degree",46,5.6,"02"
"12882","CS","PhD","E-mail",3.1,162,166,"International",48,5.9,"03"
"9111","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",53,6.9,"04"
"11150","CS","PhD","E-mail",3.74,162,163,"American",152,18.1,"02"
"101","ECE","PhD","E-mail",NA,NA,NA,"International",12,1.5,"05"
"6086","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"01"
"1339","CS","PhD","E-mail",NA,NA,NA,"International",42,2.6,"03"
"11492","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",53,4.8,"02"
"12008","CS","PhD","Website",3.1,170,151,"International",37,3.4,"04"
"1710","CS","MS","Website",NA,157,170,"International",30,2.3,"03"
"1374","CS","MS","E-mail",3.56,152,169,"International",57,11.5,"03"
"15351","CS","PhD","E-mail",NA,NA,NA,"American",50,4.7,"03"
"16129","CS","PhD","E-mail",3.84,163,160,"American",57,11.5,"02"
"4470","ECE","PhD","E-mail",3.86,156,166,"International",42,5.4,"03"
"4435","CS","MS","E-mail",NA,NA,NA,"International",53,4.8,"01"
"2430","CS","MS","E-mail",NA,NA,NA,"International",83,11.1,"02"
"9332","CS","PhD","E-mail",3.31,163,164,"American",47,3,"04"
"13797","CS","PhD","Website",NA,NA,NA,"International",24,2.1,"02"
"6921","CS","MS","E-mail",3.75,152,166,"American",NA,NA,"03"
"4904","CS","PhD","E-mail",4,160,168,"International",46,5.6,"02"
"97","CS","MS","E-mail",NA,NA,NA,"American",23,2.7,"05"
"4932","CS","PhD","Website",3.1,150,170,"International",55,4.7,"03"
"13360","CS","PhD","Website",NA,NA,NA,"American",26,2.5,"02"
"14546","CS","MS","E-mail",NA,NA,NA,"International",38,3.1,"04"
"12139","ECE","PhD","E-mail",NA,NA,NA,"International",22,2.8,"04"
"7122","CS","PhD","Website",NA,NA,NA,"International",50,4.7,"03"
"1193","CS","MS","E-mail",NA,158,167,"International",46,5.6,"03"
"9839","ECE","MS","E-mail",3.5,152,166,"International",22,2.5,"03"
"10907","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",37,5,"02"
"10454","CS","PhD","E-mail",NA,NA,NA,"American",53,6.9,"02"
"9066","ECE","PhD","E-mail",3.97,162,163,"International",68,8.7,"04"
"5277","CS","PhD","E-mail",NA,NA,NA,"International",46,5.6,"02"
"13676","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",50,4.7,"02"
"15721","ECE","PhD","E-mail",3.7,161,161,"American",22,2.4,"02"
"12353","CS","MS","E-mail",3.91,146,155,"International with US Degree",37,5,"03"
"3716","CS","PhD","E-mail",NA,NA,NA,"International",9,1.4,"04"
"5498","CS","MS","E-mail",3.55,151,164,"International",152,18.1,"02"
"13641","CS","PhD","E-mail",4,169,166,"International with US Degree",152,18.1,"02"
"5914","CS","PhD","E-mail",NA,NA,NA,"International",83,11.1,"02"
"6024","CS","PhD","E-mail",3.92,160,170,"American",57,8.4,"02"
"12091","CS","MS","Website",NA,NA,NA,"International with US Degree",37,3.1,"04"
"6764","CS","MS","Website",NA,NA,NA,"International",21,2.4,"03"
"5745","CS","PhD","E-mail",NA,156,165,"International",57,11.5,"02"
"3109","CS","PhD","E-mail",3.84,154,167,"International",57,11.5,"02"
"176","CS","PhD","E-mail",3.51,153,167,"International",24,2,"05"
"15089","ECE","PhD","E-mail",NA,NA,NA,"International",63,8.6,"03"
"15044","CS","MS","E-mail",NA,NA,NA,"American",57,11.5,"03"
"14564","ECE","PhD","Phone",3.72,170,143,"International",68,8.7,"04"
"534","CS","MS","Website",NA,163,170,"Other",37,5,"04"
"13050","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",42,2.6,"03"
"4350","CS","MS","E-mail",3.5,157,162,"International",26,2.3,"03"
"2635","CS","MS","E-mail",3.9,163,170,"International",152,18.1,"02"
"1692","CS","MS","E-mail",NA,NA,NA,"International",50,5.7,"03"
"4974","CS","PhD","E-mail",3.55,152,159,"International with US Degree",30,2.3,"03"
"4413","ECE","MS","E-mail",3.7,162,148,"International",35,3.4,"03"
"11820","CS","PhD","E-mail",4,164,163,"American",15,1.9,"04"
"15500","CS","PhD","E-mail",NA,NA,NA,"International",24,2,"03"
"15916","HCI","PhD","E-mail",NA,NA,NA,"International with US Degree",152,18.1,"02"
"9878","ECE","PhD","E-mail",3.45,170,152,"International",43,3.6,"03"
"4652","CS","MS","Website",NA,147,164,"International",30,2.3,"03"
"15417","CS","MS","E-mail",2,140,166,"International",15,1.9,"03"
"14798","CS","PhD","Website",NA,NA,NA,"International",40,3.6,"03"
"7566","CS","MS","Phone",NA,NA,NA,"International with US Degree",68,8.7,"03"
"7572","CS","MS","E-mail",NA,164,166,"International",42,5.4,"03"
"8560","CS","PhD","E-mail",3.8,165,170,"American",152,18.1,"02"
"9885","ECE","PhD","E-mail",4,156,166,"International",83,11.1,"03"
"7477","CS","PhD","E-mail",NA,NA,NA,"International",30,2.8,"03"
"3538","CS","PhD","E-mail",NA,NA,NA,"International",24,2,"12"
"2499","CS","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"2871","CS","PhD","E-mail",3,165,169,"American",23,2.7,"02"
"14082","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"3573","ECE","MS","Website",NA,NA,NA,"American",50,5.7,"10"
"8409","CS","MS","E-mail",NA,NA,NA,"International",152,18.1,"02"
"3608","ECE","MS","E-mail",NA,149,170,"American",152,18.1,"05"
"14719","CS","MS","Website",NA,NA,NA,"International",53,6.9,"04"
"2577","ECE","MS","E-mail",NA,157,170,"International",83,11.1,"02"
"16168","CS","PhD","E-mail",NA,141,166,"International",25,3.5,"02"
"7786","CS","PhD","E-mail",NA,NA,NA,"American",47,5.8,"02"
"10928","CS","PhD","E-mail",NA,NA,NA,"International",19,2.8,"02"
"12963","CS","PhD","E-mail",3.69,156,161,"International",23,2.7,"03"
"3292","CS","PhD","E-mail",NA,NA,NA,"American",21,2.4,"02"
"167","IS","MS","Website",3.6,165,164,"American",46,5.6,"05"
"3067","CS","PhD","E-mail",NA,NA,NA,"International",53,4.8,"02"
"4590","CS","MS","E-mail",NA,NA,NA,"International with US Degree",55,4.3,"03"
"9482","ECE","PhD","Other",NA,NA,NA,"International with US Degree",73,6.7,"03"
"6387","CS","MS","E-mail",3.86,157,169,"International",50,5.7,"04"
"11558","CS","MS","E-mail",NA,155,162,"International",53,4.8,"01"
"7231","CS","MS","E-mail",NA,NA,NA,"International",42,5.4,"03"
"5893","CS","PhD","E-mail",3.4,168,157,"International",55,4.3,"02"
"13394","CS","PhD","E-mail",NA,NA,NA,"American",30,2.3,"02"
"3043","CS","MS","E-mail",3.75,157,170,"International",53,6.9,"01"
"10093","ECE","PhD","E-mail",NA,NA,NA,"International",22,2.5,"03"
"15660","CS","MS","E-mail",NA,NA,NA,"American",53,6.9,"02"
"6788","CS","MS","E-mail",3.35,167,163,"American",22,2.5,"02"
"5900","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",152,18.1,"02"
"422","CS","MS","Website",3.45,153,168,"International",23,1.9,"04"
"13794","CS","PhD","Other",NA,NA,NA,"International",35,3.4,"02"
"1327","CS","MS","E-mail",3.76,162,170,"American",57,11.5,"03"
"8716","CS","PhD","Phone",3.92,165,170,"Other",57,8.4,"02"
"15611","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"12453","CS","MS","E-mail",3.6,164,163,"International",73,6.7,"03"
"9079","CS","MS","E-mail",NA,NA,NA,"International",53,6.9,"04"
"9244","CS","MS","E-mail",NA,NA,NA,"International",83,9.9,"04"
"644","ECE","MS","E-mail",NA,NA,NA,"International with US Degree",53,6.9,"04"
"15991","CS","PhD","Website",NA,NA,NA,"International with US Degree",83,11.1,"02"
"14115","CS","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"15404","CS","PhD","Other",NA,NA,NA,"American",55,4.3,"03"
"11896","CS","MS","Other",NA,NA,NA,"International",23,1.9,"04"
"16114","CS","PhD","E-mail",3.96,160,166,"American",57,11.5,"02"
"4441","CS","PhD","E-mail",3.1,151,161,"Other",43,3.6,"03"
"8074","ECE","MS","E-mail",3.6,158,166,"International",53,4.8,"02"
"11840","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",46,4.3,"04"
"4650","CS","MS","Website",3.2,151,167,"International",30,2.3,"03"
"6111","CS","PhD","Other",NA,NA,NA,"International with US Degree",12,1.8,"01"
"2764","CS","MS","E-mail",NA,NA,NA,"International",48,5.9,"02"
"9570","ECE","MS","E-mail",NA,NA,NA,"International with US Degree",23,1.9,"03"
"15770","CS","MS","E-mail",3.9,154,164,"International",53,4.8,"02"
"2807","CS","MS","E-mail",NA,NA,NA,"International",48,5.9,"02"
"1425","CS","MS","E-mail",NA,165,164,"International",52,6.4,"03"
"6829","CS","MS","E-mail",NA,158,169,"International with US Degree",73,6.7,"03"
"1486","CS","PhD","E-mail",NA,NA,NA,"International",63,8.6,"03"
"10130","CS","PhD","E-mail",3.5,165,166,"International",30,2.3,"03"
"5784","CS","PhD","E-mail",NA,NA,NA,"International",57,11.5,"02"
"12206","ECE","PhD","Website",NA,NA,NA,"International with US Degree",55,4.7,"03"
"8865","CS","PhD","Website",NA,NA,NA,"International",30,2.3,"01"
"6835","ECE","PhD","Website",NA,NA,NA,"Other",42,5.4,"03"
"8311","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",57,8.4,"02"
"7013","CS","PhD","E-mail",4,169,170,"American",83,11.1,"03"
"5538","CS","PhD","E-mail",NA,NA,NA,"International",13,1.8,"02"
"936","CS","MS","E-mail",4,163,162,"International",63,8.6,"03"
"15366","CS","PhD","E-mail",3.56,143,164,"International",52,6.4,"03"
"956","CS","MS","E-mail",3.2,160,157,"American",53,6.9,"03"
"2544","ECE","PhD","E-mail",3.89,158,168,"International",83,11.1,"02"
"2380","ECE","PhD","E-mail",3.62,160,170,"American",19,2.8,"02"
"14673","CS","MS","Website",NA,NA,NA,"International",52,6.4,"04"
"11424","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"8105","CS","PhD","Phone",3.75,NA,NA,"American",52,6.4,"02"
"9151","CS","MS","E-mail",3.3,159,163,"International",43,3.6,"04"
"14973","CS","PhD","E-mail",NA,NA,NA,"American",32,2.7,"02"
"9418","CS","MS","E-mail",3.74,170,155,"International",68,8.7,"03"
"3754","CS","MS","E-mail",NA,162,164,"Other",50,5.7,"04"
"12442","CS","MS","E-mail",NA,NA,NA,"International",50,5.7,"03"
"3131","CS","PhD","E-mail",3.82,162,167,"American",57,11.5,"02"
"5799","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",57,11.5,"02"
"11276","ECE","PhD","Website",NA,158,166,"International",38,3.1,"02"
"10955","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",51,5.3,"02"
"7873","CS","PhD","Website",3.8,167,169,"International with US Degree",73,6.7,"02"
"9259","CS","PhD","E-mail",NA,NA,NA,"American",50,4.7,"03"
"8809","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",19,2.8,"01"
"7623","CS","MS","E-mail",NA,155,161,"International",50,5.7,"03"
"250","CS","PhD","Website",NA,NA,NA,"International",37,3.1,"04"
"13361","CS","MS","Website",NA,170,144,"International",26,2.5,"02"
"152","CS","MS","E-mail",NA,NA,NA,"Other",37,3.1,"05"
"9525","CS","PhD","E-mail",NA,NA,NA,"International",42,5.4,"03"
"7831","CS","PhD","E-mail",3.9,158,170,"International",48,5.9,"02"
"11969","CS","MS","E-mail",3,155,155,"International",33,3.4,"04"
"10631","ECE","PhD","E-mail",NA,NA,NA,"International",32,2.7,"02"
"12699","CS","PhD","Website",3.56,152,163,"American",43,3.6,"03"
"966","CS","MS","E-mail",3.73,144,161,"International",73,6.7,"03"
"8101","CS","MS","E-mail",NA,NA,NA,"International with US Degree",50,5.7,"02"
"13001","CS","PhD","E-mail",NA,NA,NA,"International",83,9.9,"03"
"605","CS","MS","E-mail",NA,157,170,"International",37,5,"04"
"15999","CS","PhD","Website",NA,NA,NA,"American",83,11.1,"02"
"15400","CS","PhD","E-mail",NA,NA,NA,"International",16,1.3,"02"
"3199","CS","PhD","E-mail",4,152,170,"International with US Degree",57,8.4,"02"
"643","CS","MS","E-mail",NA,NA,NA,"International",42,5.4,"04"
"537","CS","MS","Website",NA,NA,NA,"International with US Degree",37,5,"04"
"15436","CS","MS","E-mail",NA,NA,NA,"International",48,5.9,"03"
"15954","ECE","MS","Website",NA,NA,NA,"International",83,11.1,"02"
"4304","CS","MS","E-mail",3.72,167,167,"American",53,6.9,"03"
"12969","CS","MS","E-mail",3,154,163,"International",6,1.1,"03"
"12336","CS","MS","E-mail",3.5,163,166,"Other",37,5,"03"
"5116","CS","MS","E-mail",3.33,157,165,"International",30,2.3,"02"
"3153","CS","PhD","E-mail",3.97,166,168,"American",51,5.3,"02"
"13391","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",28,2,"02"
"6734","CS","MS","E-mail",3.5,158,165,"International",46,5.6,"04"
"8513","CS","MS","E-mail",3.87,153,164,"International",83,9.9,"02"
"2945","ECE","PhD","E-mail",NA,NA,NA,"American",73,6.7,"02"
"14310","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"05"
"6082","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",6,1.2,"01"
"11289","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",57,8.4,"02"
"5927","CS","PhD","E-mail",NA,NA,NA,"International",48,5.9,"02"
"7705","HCI","PhD","E-mail",NA,NA,NA,"American",152,18.1,"02"
"13679","CS","PhD","Website",3.98,161,166,"American",85,12.3,"02"
"3675","CS","MS","Website",3.9,158,164,"International",73,6.7,"05"
"13505","CS","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"4123","CS","PhD","E-mail",NA,NA,NA,"International",30,2.8,"04"
"9415","CS","PhD","E-mail",NA,NA,NA,"International",19,1.9,"03"
"5352","CS","PhD","E-mail",NA,NA,NA,"American",83,11.1,"02"
"13629","CS","PhD","Website",NA,NA,NA,"American",85,12.3,"02"
"12169","ECE","PhD","Website",NA,NA,NA,"International",55,4.7,"03"
"5885","CS","PhD","E-mail",NA,NA,NA,"International",85,12.3,"02"
"7839","CS","PhD","E-mail",3.5,161,169,"American",19,1.9,"02"
"9189","CS","MS","E-mail",3.76,163,166,"International with US Degree",47,5.8,"04"
"15300","CS","PhD","Website",NA,NA,NA,"International",24,2.1,"03"
"1729","CS","MS","Other",3,160,168,"International",30,2.3,"03"
"276","CS","PhD","E-mail",2.96,152,167,"International",NA,NA,"04"
"10705","CS","MS","E-mail",NA,NA,NA,"International",152,18.1,"02"
"7639","CS","MS","E-mail",3.54,149,165,"International",28,2,"03"
"7545","CS","PhD","Website",3.76,165,147,"International",25,3.5,"03"
"7760","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"02"
"10403","ECE","PhD","Website",NA,NA,NA,"International with US Degree",85,12.3,"03"
"8945","CS","MS","E-mail",NA,NA,NA,"International",39,2.4,"05"
"10773","CS","MS","E-mail",NA,NA,NA,"American",52,6.4,"02"
"2596","ECE","MS","Website",NA,NA,NA,"International",83,11.1,"02"
"6916","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"03"
"5367","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"349","CS","MS","Website",NA,NA,NA,"International",38,3.1,"04"
"2965","CS","PhD","E-mail",3.81,170,170,"International",51,5.3,"02"
"15670","CS","PhD","E-mail",NA,NA,NA,"American",37,5,"02"
"6684","CS","PhD","E-mail",NA,NA,NA,"International",46,4.3,"04"
"8287","CS","PhD","E-mail",4,165,170,"International with US Degree",57,8.4,"02"
"7200","CS","MS","E-mail",NA,NA,NA,"International",83,9.9,"03"
"4989","CS","PhD","E-mail",NA,NA,NA,"International",26,3.3,"03"
"12474","CS","PhD","Postal Service",3.87,159,166,"International",50,5.7,"03"
"1134","CS","MS","E-mail",3.4,150,163,"International",NA,NA,"03"
"8697","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",50,4.7,"01"
"7307","CS","PhD","E-mail",NA,NA,NA,"International",47,3,"03"
"8636","CS","PhD","E-mail",3.89,147,163,"International",17,1.5,"02"
"5514","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",52,6.4,"02"
"16439","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",42,5.4,"01"
"10894","CS","MS","E-mail",3.85,162,160,"International with US Degree",50,4.7,"02"
"4566","CS","MS","E-mail",3.82,153,168,"International",38,3.1,"03"
"2149","ECE","PhD","Website",NA,NA,NA,"International",55,4.3,"03"
"14445","CS","MS","Postal Service",NA,NA,NA,"International",15,1.5,"04"
"1813","CS","MS","E-mail",3.3,160,162,"American",50,4.7,"03"
"9121","ECE","MS","E-mail",NA,NA,NA,"International",53,6.9,"04"
"5322","CS","MS","E-mail",NA,NA,NA,"International",152,18.1,"02"
"1537","ECE","MS","E-mail",NA,NA,NA,"International with US Degree",73,6.7,"03"
"6093","CS","PhD","E-mail",3.91,154,170,"International",42,5.4,"01"
"7842","ECE","MS","E-mail",3.75,152,157,"American",68,8.7,"02"
"55","Other","PhD","E-mail",NA,NA,NA,"American",55,4.3,"02"
"4717","CS","MS","E-mail",3.73,153,170,"International with US Degree",30,2.3,"03"
"4770","CS","PhD","Website",3.8,146,166,"International",29,4.2,"03"
"12796","CS","PhD","E-mail",NA,NA,NA,"American",33,3.4,"03"
"11031","ECE","PhD","E-mail",NA,NA,NA,"International",85,12.3,"02"
"12268","CS","PhD","E-mail",3.52,148,164,"International",53,6.9,"03"
"3160","CS","MS","Website",3.03,144,161,"International",12,1.5,"02"
"8408","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",152,18.1,"02"
"8176","CS","PhD","E-mail",NA,NA,NA,"International",57,11.5,"02"
"8035","CS","PhD","E-mail",NA,NA,NA,"International",51,5.3,"02"
"12011","CS","PhD","E-mail",NA,NA,NA,"International",22,2.5,"04"
"3702","ECE","PhD","E-mail",NA,157,152,"International",28,2.9,"04"
"8227","CS","PhD","E-mail",NA,NA,NA,"American",57,11.5,"02"
"12914","CS","PhD","E-mail",NA,NA,NA,"American",48,5.9,"03"
"4841","CS","PhD","E-mail",3.6,154,161,"International",15,1.5,"03"
